collection,word,article,plural,word_class,example,topic,source_page
cosmopolite-a1-methode,Allemagne,l',,noun,numéro un — l'Allemagne,travel,015
cosmopolite-a1-methode,Australie,,,noun,,travel,015
cosmopolite-a1-methode,Brésil,,,noun,,travel,015
cosmopolite-a1-methode,Canada,,,noun,,travel,015
cosmopolite-a1-methode,Chine,la,,noun,numéro cinq — la Chine,travel,015
cosmopolite-a1-methode,Corée du Sud,,,noun,,travel,015
cosmopolite-a1-methode,Croatie,,,noun,,travel,015
cosmopolite-a1-methode,Cuba,,,noun,,travel,015
cosmopolite-a1-methode,Espagne,,,noun,,travel,015
cosmopolite-a1-methode,France,,,noun,,travel,015
cosmopolite-a1-methode,Grande-Bretagne,la,,noun,numéro trois — la Grande-Bretagne,travel,015
cosmopolite-a1-methode,Hongrie,,,noun,,travel,015
cosmopolite-a1-methode,Italie,,,noun,,travel,015
cosmopolite-a1-methode,Jamaïque,,,noun,,travel,015
cosmopolite-a1-methode,Japon,,,noun,,travel,015
cosmopolite-a1-methode,Kenya,,,noun,,travel,015
cosmopolite-a1-methode,Nouvelle-Zélande,,,noun,,travel,015
cosmopolite-a1-methode,Pays-Bas,,,noun,,travel,015
cosmopolite-a1-methode,Russie,la,,noun,numéro deux — la Russie,travel,015
cosmopolite-a1-methode,États-Unis,les,,noun,numéro quatre — les États-Unis,travel,015
cosmopolite-a1-methode,Brésil,le,,noun,le Brésil,travel,016
cosmopolite-a1-methode,Cambodge,le,,noun,le Cambodge,travel,016
cosmopolite-a1-methode,Chine,la,,noun,la Chine,travel,016
cosmopolite-a1-methode,Chypre,,,noun,,travel,016
cosmopolite-a1-methode,cinq,,,other,,none,016
cosmopolite-a1-methode,cinquante,,,other,,none,016
cosmopolite-a1-methode,cinquante et un,,,other,,none,016
cosmopolite-a1-methode,cinquante-cinq,,,other,,none,016
cosmopolite-a1-methode,cinquante-deux,,,other,,none,016
cosmopolite-a1-methode,cinquante-neuf,,,other,,none,016
cosmopolite-a1-methode,cinquante-quatre,,,other,,none,016
cosmopolite-a1-methode,cinquante-sept,,,other,,none,016
cosmopolite-a1-methode,Cuba,,,noun,,travel,016
cosmopolite-a1-methode,deux,,,other,,none,016
cosmopolite-a1-methode,dix,,,other,,none,016
cosmopolite-a1-methode,dix-huit,,,other,,none,016
cosmopolite-a1-methode,dix-neuf,,,other,,none,016
cosmopolite-a1-methode,dix-sept,,,other,,none,016
cosmopolite-a1-methode,douze,,,other,,none,016
cosmopolite-a1-methode,Espagne,l',,noun,l'Espagne,travel,016
cosmopolite-a1-methode,France,la,,noun,la France,travel,016
cosmopolite-a1-methode,Haïti,,,noun,,travel,016
cosmopolite-a1-methode,huit,,,other,,none,016
cosmopolite-a1-methode,Iran,l',,noun,l'Iran,travel,016
cosmopolite-a1-methode,Liban,le,,noun,le Liban,travel,016
cosmopolite-a1-methode,Madagascar,,,noun,,travel,016
